movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
A Goofy Movie,4/7/1995,Comedy,G,35336439,68479579
While You Were Sleeping,4/21/1995,Romantic Comedy,PG,81057016,157082900
Crimson Tide,5/12/1995,Action,R,91387195,177102077
Mad Love,5/26/1995,Drama,PG-13,15446532,29934306
Pocahontas,6/10/1995,Adventure,G,141579773,274370957
Judge Dredd,6/30/1995,Action,R,34687912,67222776
Operation Dumbo Drop,7/28/1995,Adventure,PG,24670346,47809421
Dangerous Minds,8/11/1995,Drama,R,84919401,164552293
A Kid in King Arthur's Court,8/11/1995,Adventure,PG,13406717,25981285
The Tie That Binds,9/8/1995,Thriller/Suspense,R,5762795,11167895
Unstrung Heroes,9/15/1995,Drama,PG,7929000,15365850
The Big Green,9/29/1995,Comedy,PG,17736619,34372339
Dead Presidents,10/4/1995,Drama,R,24120194,46741467
The Scarlet Letter,10/13/1995,Drama,R,10359006,20075033
Feast of July,10/13/1995,Drama,R,293274,568342
Powder,10/27/1995,Drama,PG-13,30833914,59727216
Toy Story,11/22/1995,Adventure,G,191796233,370409631
Father of the Bride Part II,12/8/1995,Comedy,PG,76578911,147658438
Nixon,12/20/1995,Drama,R,13668249,26302005
Tom and Huck,12/22/1995,Adventure,PG,23837227,45911517
Mr. Holland's Opus,12/29/1995,Drama,PG,82582604,157508868
White Squall,2/2/1996,Adventure,PG-13,10229300,19509726
Muppet Treasure Island,2/16/1996,Adventure,G,34327391,65470567
Mr. Wrong,2/16/1996,Romantic Comedy,PG-13,12805071,24422334
Before and After,2/23/1996,Drama,PG-13,8642118,16482589
Up Close & Personal,3/1/1996,Drama,PG-13,51045801,97356578
Homeward Bound II: Lost in San Francâ€¦,3/8/1996,Adventure,G,32709423,62384706
Two Much,3/15/1996,Romantic Comedy,PG-13,1078555,2057055
Un indien dans la ville,3/22/1996,Comedy,PG,1029731,1963937
James and the Giant Peach,4/12/1996,Adventure,PG,28921264,55159783
Celtic Pride,4/19/1996,Comedy,PG-13,9240378,17623615
Last Dance,5/3/1996,Drama,R,5857534,11171714
Boys,5/10/1996,Drama,PG-13,21930418,41826566
Spy Hard,5/24/1996,Comedy,PG-13,26936265,51373912
Eddie,5/31/1996,Comedy,PG-13,31369401,59828966
The Rock,6/7/1996,Action,R,134069511,255702705
The Hunchback of Notre Dame,6/21/1996,Adventure,G,100138851,190988799
Phenomenon,7/5/1996,Drama,PG,104636382,199559799
Kazaam,7/17/1996,Comedy,PG,18880508,36009655
Jack,8/9/1996,Drama,PG-13,58617334,111792852
First Kid,8/30/1996,Comedy,PG,26465920,50465108
The Rich Man's Wife,9/13/1996,Thriller/Suspense,R,8538318,16284619
D3: The Mighty Ducks,10/4/1996,Comedy,PG,22936273,43713554
The Associate,10/25/1996,Comedy,PG-13,12772657,24333094
Ransom,11/8/1996,Action,R,136492681,259807820
The War at Home,11/20/1996,,R,34368,65543
101 Dalmatians,11/27/1996,Comedy,G,136189294,258728898
The Preacher's Wife,12/13/1996,Drama,PG,48102795,91076877
Evita,12/25/1996,Musical,PG,50047179,92077628
Metro,1/17/1997,Action,R,32017895,58804106
Prefontaine,1/24/1997,Drama,PG-13,590817,1085093
Shadow Conspiracy,1/31/1997,Thriller/Suspense,R,2154540,3957025
That Darn Cat,2/14/1997,Comedy,PG,18301828,33613158
Jungle 2 Jungle,3/7/1997,Comedy,PG,59925026,110058379
The Sixth Man,3/28/1997,Comedy,PG-13,14765099,27117599
Grosse Pointe Blank,4/11/1997,Black Comedy,R,28084357,51579764
Romy and Michele's High School Reunion,4/25/1997,Comedy,R,29235353,53693680
Gone Fishin',5/30/1997,Comedy,PG,19745922,36265379
Con Air,6/6/1997,Action,R,101117573,185712664
Hercules,6/13/1997,Adventure,G,99112101,182029412
George Of The Jungle,7/16/1997,Comedy,PG,105263257,193326632
Nothing To Lose,7/18/1997,Comedy,R,44480039,81692095
Air Bud,8/1/1997,Comedy,PG,24646936,45266588
G.I. Jane,8/22/1997,Drama,R,48169156,88467531
A Thousand Acres,9/19/1997,Drama,R,7928412,14561324
Washington Square,10/5/1997,Drama,PG,1775644,3257546
Rocket Man,10/10/1997,Comedy,PG,15448043,28371890
Playing God,10/17/1997,Thriller/Suspense,R,4166918,7652965
Flubber,11/26/1997,Comedy,PG,92993801,170406423
An American Werewolf in Paris,12/25/1997,Horror,R,26570463,48546161
Mr. Magoo,12/25/1997,Comedy,PG,21437192,39145784
Kundun,12/25/1997,Drama,PG-13,5686694,10236836
Deep Rising,1/30/1998,Action,R,11203026,20136775
Krippendorf's Tribe,2/27/1998,Comedy,PG-13,7571115,13608633
An Alan Smithee Film: Burn Hollywood â€¦,2/27/1998,Comedy,R,45779,82277
Meet the Deedles,3/27/1998,Comedy,PG,4356126,7829877
He Got Game,5/1/1998,Drama,R,21567853,38766948
The Horse Whisperer,5/15/1998,Drama,PG-13,75383563,135497531
"Six Days, Seven Nights",6/12/1998,Romantic Comedy,PG-13,74339294,133620516
Mulan,6/19/1998,Adventure,G,120620254,216807832
Armageddon,7/1/1998,Adventure,PG-13,201578182,362324957
Jane Austen's Mafia,7/24/1998,Comedy,PG-13,19843795,35668055
The Parent Trap,7/29/1998,Comedy,PG,66308518,119185667
Firelight,9/4/1998,Drama,R,784419,1409943
Simon Birch,9/11/1998,Drama,PG,18253415,32809442
Holy Man,10/9/1998,Comedy,PG,12069719,21694605
Beloved,10/16/1998,Drama,R,22852487,41062682
The Waterboy,11/6/1998,Comedy,PG-13,161491646,288691833
I'll Be Home For Christmas,11/13/1998,Comedy,PG,12214338,21941840
A Bug's Life,11/20/1998,Adventure,G,162798565,288981698
Enemy of the State,11/20/1998,Action,R,111549836,198472008
Rushmore,12/11/1998,Black Comedy,R,17105219,28392518
A Civil Action,12/25/1998,Drama,PG-13,56709981,94139530
Mighty Joe Young,12/25/1998,Adventure,PG,50632037,87906042
My Favorite Martian,2/12/1999,Comedy,PG,36850101,61150849
The Other Sister,2/26/1999,Romantic Comedy,PG-13,27807627,46145331
Doug's 1st Movie,3/26/1999,Adventure,G,19421271,32228598
Ten Things I Hate About You,3/31/1999,Romantic Comedy,PG-13,38177966,63354375
Endurance,5/14/1999,,PG,229128,380218
Instinct,6/4/1999,Drama,R,34105207,56595842
Tarzan,6/16/1999,Adventure,G,171091819,283900254
Summer of Sam,7/2/1999,Drama,R,19288130,32007656
Inspector Gadget,7/23/1999,Comedy,PG,97387965,161610341
The Sixth Sense,8/6/1999,Thriller/Suspense,PG-13,293506292,485424724
The 13th Warrior,8/27/1999,Action,R,32698899,54262148
Breakfast of Champions,9/17/1999,Comedy,R,178287,295851
Mumford,9/24/1999,Comedy,R,4559569,7566363
"Mystery, Alaska",10/1/1999,Comedy,R,8891623,14755189
The Straight Story,10/15/1999,Drama,G,6197866,10111144
The Insider,11/5/1999,Drama,R,28965197,47794214
Toy Story 2,11/19/1999,Adventure,G,245852179,404450426
Cradle Will Rock,12/8/1999,Drama,R,2899970,4609153
Deuce Bigalow: Male Gigolo,12/10/1999,Comedy,R,65535067,106921374
Bicentennial Man,12/17/1999,Drama,PG,58220776,94838225
Play it to the Bone,12/24/1999,Comedy,R,8427204,13180524
Fantasia 2000 (IMAX),1/1/2000,Musical,G,60507228,94852354
Gun Shy,2/4/2000,Comedy,R,1638202,2562155
The Tigger Movie,2/11/2000,Adventure,G,45542421,71228678
Mission to Mars,3/10/2000,Adventure,PG,60874615,95208344
High Fidelity,3/31/2000,Comedy,R,27277055,42661516
Keeping the Faith,4/14/2000,Romantic Comedy,PG-13,37036404,57925202
Dinosaur,5/19/2000,Adventure,PG,137748063,215438985
Shanghai Noon,5/26/2000,Western,PG-13,56932305,89042541
Gone in 60 Seconds,6/9/2000,Action,PG-13,101643008,158970411
Fantasia 2000 (Theatrical Release),6/16/2000,Musical,G,9103630,14238144
The Kid,7/7/2000,Comedy,PG,69688384,108993148
Coyote Ugly,8/4/2000,Drama,PG-13,60786269,95070168
The Crew,8/25/2000,Comedy,PG-13,13019253,20362201
Duets,9/15/2000,Drama,R,4734235,7404372
Remember the Titans,9/29/2000,Drama,PG,115654751,180742479
Unbreakable,11/22/2000,Thriller/Suspense,PG-13,94999143,148208901
102 Dalmatians,11/22/2000,Comedy,G,66941559,104055039
The Emperor's New Groove,12/15/2000,Adventure,G,89296573,136789252
"O Brother, Where Art Thou?",12/22/2000,Comedy,PG-13,45506619,67922002
Double Take,1/12/2001,Action,PG-13,29823162,44418589
Recess: School's Out,2/16/2001,Comedy,G,36696761,54656124
Just Visiting,4/6/2001,Comedy,PG-13,4777007,7114869
Pearl Harbor,5/25/2001,Action,PG-13,198539855,295705112
Atlantis: The Lost Empire,6/8/2001,Adventure,PG,84052762,125188122
crazy/beautiful,6/29/2001,Drama,PG-13,16929123,25214223
The Princess Diaries,8/3/2001,Comedy,G,108244774,161218928
Bubble Boy,8/24/2001,Comedy,PG-13,5002310,7450434
Max Keeble's Big Move,10/5/2001,Comedy,PG,17292381,25749730
Corky Romano,10/12/2001,Comedy,PG-13,23978402,35705805
High Heels and Low Lifes,10/26/2001,,R,226792,337782
"Monsters, Inc.",11/2/2001,Adventure,G,289423425,416073179
Out Cold,11/21/2001,Comedy,PG-13,13906394,20700691
The Royal Tenenbaums,12/14/2001,Black Comedy,R,52353636,76758193
Beauty and the Beast (IMAX),1/1/2002,Musical,G,25487028,36980311
Frank McKlusky C.I.,1/1/2002,,,0,0
Snow Dogs,1/18/2002,Comedy,PG,81150692,117745317
The Count of Monte Cristo,1/25/2002,Drama,PG-13,54228104,78682079
Peter Pan: Return to Neverland,2/15/2002,Adventure,G,48430258,70269715
Reign of Fire,2/19/2002,Action,PG-13,43061982,62480631
Sorority Boys,3/22/2002,Comedy,R,10198766,14797862
The Rookie,3/29/2002,Drama,G,75600072,109691666
Big Trouble,4/5/2002,Comedy,PG-13,7262288,10537188
ESPN's Ultimate X - The Movie,5/10/2002,Documentary,PG,4197175,6089874
Bad Company,6/7/2002,Action,PG-13,30157016,43756218
Lilo & Stitch,6/21/2002,Adventure,PG,145771527,211506702
The Country Bears,7/26/2002,Adventure,G,16988996,24650121
Signs,8/2/2002,Thriller/Suspense,PG-13,227965690,330754439
Sen to Chihiro no Kamikakushi,9/20/2002,Adventure,PG,10049886,14338992
Sweet Home Alabama,9/27/2002,Comedy,PG-13,127214072,184521151
Moonlight Mile,9/27/2002,Drama,PG-13,6830957,9909094
Tuck Everlasting,10/11/2002,Drama,PG,19161999,27789959
The Santa Clause 2,11/1/2002,Comedy,G,139225854,201959095
Treasure Planet,11/27/2002,Adventure,PG,38120554,55189145
The Hot Chick,12/13/2002,Comedy,PG-13,35081550,50624654
25th Hour,12/19/2002,Drama,R,13084595,18325463
The Recruit,1/31/2003,Thriller/Suspense,PG-13,52784696,73793522
